,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,,,
1,0.549426334,0.045605666,0.029368809,0.046261724,0.055862498,0.070637189,0.202837778,1,15.55,28.65
2,0.572240729,0.044107226,0.028406871,0.044062185,0.053407793,0.068156256,0.189618941,1,14.9,27.55
3,0.583255157,0.043491368,0.027947225,0.043048995,0.052100855,0.066694964,0.183461436,1,14.45,28.35
4,0.62671047,0.038486567,0.023456339,0.037504905,0.042823749,0.053512994,0.177504976,1,14.15,28.8
5,0.644697332,0.037132111,0.022451669,0.035756104,0.040534246,0.05069257,0.168735969,1,13.75,28.05
6,0.643788465,0.038036488,0.023173946,0.036341065,0.041550967,0.052323651,0.164785419,1,13.35,28.45
7,0.660094722,0.034520061,0.020180496,0.033204893,0.036229284,0.044469342,0.171301202,1,13,29.15
8,0.656620338,0.033623193,0.018959327,0.032361827,0.033797726,0.040597491,0.184040097,1,13.45,27.5
9,0.715240722,0.02874456,0.016041433,0.026981229,0.028079082,0.033975199,0.150937774,1,13.6,26.5
10,0.730173417,0.027819986,0.015523128,0.025846955,0.026954149,0.032751753,0.140930613,1,12.8,27.35
11,0.715136177,0.029998119,0.01705878,0.027897337,0.029688866,0.03640988,0.143810841,1,12.4,27.85
12,0.710415026,0.030783583,0.017600121,0.028590739,0.030601452,0.037643651,0.144365426,1,12.3,28.4
13,0.649755553,0.031687989,0.016383719,0.029974582,0.028304762,0.032658563,0.211234832,1,12.2,28.65
14,0.715453959,0.02679042,0.014073297,0.025019373,0.024276591,0.028481424,0.165904936,1,13.4,25.1
15,0.720596636,0.02711401,0.014608945,0.025383393,0.025372103,0.030150648,0.156774266,1,12.95,25.95
16,0.802287975,0.019579628,0.010165074,0.017702124,0.017149694,0.020307285,0.112808221,1,12.9,26.5
17,0.790682762,0.021874499,0.011617061,0.019652443,0.019530584,0.023427621,0.11321503,1,11.85,27
18,0.762002276,0.025669864,0.013942792,0.023087457,0.023468532,0.028424975,0.123404103,1,11.35,28
19,0.827731183,0.017478289,0.008965617,0.015544758,0.014918603,0.017666996,0.097694554,1,11.15,28.7
20,0.838315637,0.016751492,0.008506765,0.014708724,0.013994804,0.016559408,0.09116317,1,11.25,27.4
21,0.808345724,0.020571218,0.01065802,0.018069588,0.017536865,0.020922809,0.103895776,1,10.75,27.7
22,0.821940269,0.019505268,0.009777687,0.016733007,0.01572946,0.018596411,0.097717899,1,10.5,28.35
23,0.886691178,0.011508216,0.005572818,0.009880727,0.008983836,0.010478617,0.066884608,1,9.65,28.45
24,0.900671061,0.009556592,0.004564111,0.008258359,0.007391795,0.008554892,0.061003191,1,10.25,27.25
25,0.834122557,0.015740266,0.007827185,0.014046323,0.013016888,0.015169479,0.100077303,1,10.75,26.55
26,0.851064783,0.013629411,0.006569194,0.012045335,0.010810404,0.012458105,0.093422767,1,11.7,26.35
27,0.809624009,0.016181455,0.007544805,0.014309098,0.012345869,0.013992292,0.126002471,1,11.6,25.9
28,0.66633061,0.026283818,0.012033913,0.023679773,0.019741083,0.021946856,0.229983946,1,11.9,25.05
29,0.781110196,0.017471363,0.007863395,0.015324371,0.012723733,0.014226749,0.151280192,1,12.6,24.05
30,0.899595911,0.008515726,0.003822321,0.007298498,0.00611506,0.00690175,0.067750735,1,11.9,24.5
