,Cluster 1,Cluster 2,
1,0.1853397094,0.8146602906,2
2,0.1575919193,0.8424080807,2
3,0.1405347549,0.8594652451,2
4,0.1370831585,0.8629168415,2
5,0.1304666575,0.8695333425,2
6,0.1293196537,0.8706803463,2
7,0.1355324893,0.8644675107,2
8,0.1423609929,0.8576390071,2
9,0.1508741596,0.8491258404,2
10,0.1593936766,0.8406063234,2
11,0.1594835496,0.8405164504,2
12,0.1511936025,0.8488063975,2
13,0.1399915161,0.8600084839,2
14,0.1130322338,0.8869677662,2
15,0.09687814809,0.9031218519,2
16,0.1034835115,0.8965164885,2
17,0.1074253406,0.8925746594,2
18,0.1244418593,0.8755581407,2
19,0.1338901636,0.8661098364,2
20,0.1224301604,0.8775698396,2
21,0.1307291101,0.8692708899,2
22,0.1459486567,0.8540513433,2
23,0.1551114692,0.8448885308,2
24,0.1533888308,0.8466111692,2
25,0.1472529252,0.8527470748,2
26,0.1527985864,0.8472014136,2
27,0.1278341432,0.8721658568,2
28,0.08816429912,0.9118357009,2
29,0.08558952603,0.914410474,2
30,0.08051981996,0.91948018,2
31,0.0836567231,0.9163432769,2
32,0.1373386113,0.8626613887,2
33,0.1460503477,0.8539496523,2
34,0.1506065469,0.8493934531,2
35,0.1496302555,0.8503697445,2
36,0.1372210238,0.8627789762,2
37,0.1314654231,0.8685345769,2
38,0.09403164647,0.9059683535,2
39,0.103773257,0.896226743,2
40,0.05537815941,0.9446218406,2
41,0.06201443345,0.9379855665,2
42,0.06521031322,0.9347896868,2
43,0.06011605098,0.939883949,2
44,0.05927965077,0.9407203492,2
45,0.06920903256,0.9307909674,2
46,0.06746704121,0.9325329588,2
47,0.05999454418,0.9400054558,2
48,0.0542515171,0.9457484829,2
49,0.04934606847,0.9506539315,2
50,0.1168496478,0.8831503522,2
51,0.1229821924,0.8770178076,2
52,0.1277068476,0.8722931524,2
53,0.1513522784,0.8486477216,2
54,0.1518370684,0.8481629316,2
55,0.1522731372,0.8477268628,2
56,0.1351473619,0.8648526381,2
57,0.2060216,0.7939784,2
58,0.04618425996,0.95381574,2
59,0.0456653072,0.9543346928,2
60,0.0452658437,0.9547341563,2
61,0.05492050502,0.945079495,2
62,0.04615593489,0.9538440651,2
63,0.07909703207,0.9209029679,2
64,0.08699007239,0.9130099276,2
65,0.09254581941,0.9074541806,2
66,0.1003962488,0.8996037512,2
67,0.1076057554,0.8923942446,2
68,0.0967502844,0.9032497156,2
69,0.08317708687,0.9168229131,2
70,0.05466859939,0.9453314006,2
71,0.04608439806,0.9539156019,2
72,0.1535893948,0.8464106052,2
73,0.2239106459,0.7760893541,2
74,0.2366600911,0.7633399089,2
75,0.2716566262,0.7283433738,2
76,0.1599199861,0.8400800139,2
77,0.1000354543,0.8999645457,2
78,0.1361852867,0.8638147133,2
79,0.1354278252,0.8645721748,2
80,0.1434222362,0.8565777638,2
81,0.1517520441,0.8482479559,2
82,0.1914399228,0.8085600772,2
83,0.1655125678,0.8344874322,2
84,0.2144300098,0.7855699902,2
85,0.2323624915,0.7676375085,2
86,0.2454267253,0.7545732747,2
87,0.3305168935,0.6694831065,2
88,0.3576070237,0.6423929763,2
89,0.2118881343,0.7881118657,2
90,0.2802879786,0.7197120214,2
91,0.4311861395,0.5688138605,2
92,0.6389070843,0.3610929157,1
93,0.2984216284,0.7015783716,2
94,0.3108937262,0.6891062738,2
95,0.370999395,0.629000605,2
96,0.420757721,0.579242279,2
97,0.01057563149,0.9894243685,2
98,0.008618799674,0.9913812003,2
99,0.0114983351,0.9885016649,2
100,0.01296449643,0.9870355036,2
101,0.00637977021,0.9936202298,2
102,0.0003716828075,0.9996283172,2
103,0.0006668184195,0.9993331816,2
104,0.005068109779,0.9949318902,2
105,0.004012331628,0.9959876684,2
106,0.002125403231,0.9978745968,2
107,0.008817250472,0.9911827495,2
108,0.01049958194,0.9895004181,2
109,0.02020572929,0.9797942707,2
110,0.04115410218,0.9588458978,2
111,0.06936861266,0.9306313873,2
112,0.07956320237,0.9204367976,2
113,0.006540466401,0.9934595336,2
114,0.008570879591,0.9914291204,2
115,0.01111406641,0.9888859336,2
116,0.01313931758,0.9868606824,2
117,0.01715597283,0.9828440272,2
118,0.02052525361,0.9794747464,2
119,0.01892930965,0.9810706904,2
120,0.02284890775,0.9771510922,2
121,0.02585254047,0.9741474595,2
122,0.03084088709,0.9691591129,2
123,0.03182009635,0.9681799037,2
124,0.03597969755,0.9640203025,2
125,0.0405177491,0.9594822509,2
126,0.04340249694,0.9565975031,2
127,0.05326583058,0.9467341694,2
128,0.06273320718,0.9372667928,2
129,0.07310113997,0.92689886,2
130,0.07249294678,0.9275070532,2
131,0.0612512576,0.9387487424,2
132,0.07789727435,0.9221027257,2
133,0.1199477561,0.8800522439,2
134,0.1021249703,0.8978750297,2
135,0.1117254135,0.8882745865,2
136,0.1204387689,0.8795612311,2
137,0.111050046,0.888949954,2
138,0.10439387,0.89560613,2
139,0.1322338472,0.8677661528,2
140,0.1588702759,0.8411297241,2
141,0.1491483315,0.8508516685,2
142,0.2021596112,0.7978403888,2
143,0.1567646902,0.8432353098,2
144,0.1715495865,0.8284504135,2
145,0.187640269,0.812359731,2
146,0.1828952174,0.8171047826,2
147,0.1742147897,0.8257852103,2
148,0.1718361001,0.8281638999,2
149,0.2717493123,0.7282506877,2
150,0.2553648712,0.7446351288,2
151,0.2497811365,0.7502188635,2
152,0.2600464716,0.7399535284,2
153,0.2939902648,0.7060097352,2
154,0.2724678504,0.7275321496,2
155,0.2866417366,0.7133582634,2
156,0.3035900838,0.6964099162,2
157,0.286246232,0.713753768,2
158,0.2954550944,0.7045449056,2
159,0.3111464893,0.6888535107,2
160,0.3242494123,0.6757505877,2
161,0.3310719914,0.6689280086,2
162,0.3592073855,0.6407926145,2
163,0.3342568522,0.6657431478,2
164,0.3523400136,0.6476599864,2
165,0.3728827058,0.6271172942,2
166,0.3384243256,0.6615756744,2
167,0.353299608,0.646700392,2
168,0.3798782968,0.6201217032,2
169,0.3760584927,0.6239415073,2
170,0.3863054007,0.6136945993,2
171,0.4171690419,0.5828309581,2
172,0.43164922,0.56835078,2
173,0.4450405311,0.5549594689,2
174,0.4401572971,0.5598427029,2
175,0.4694267952,0.5305732048,2
176,0.4570567295,0.5429432705,2
177,0.5034014168,0.4965985832,1
178,0.5201634012,0.4798365988,1
179,0.5010242666,0.4989757334,1
180,0.4849084727,0.5150915273,2
181,0.4804173995,0.5195826005,2
182,0.478346961,0.521653039,2
183,0.4943604175,0.5056395825,2
184,0.5430080892,0.4569919108,1
185,0.5447587274,0.4552412726,1
186,0.5529046969,0.4470953031,1
187,0.5950033974,0.4049966026,1
188,0.6016064315,0.3983935685,1
189,0.658830649,0.341169351,1
190,0.6956651245,0.3043348755,1
191,0.5953672293,0.4046327707,1
192,0.6024160917,0.3975839083,1
193,0.6159055662,0.3840944338,1
194,0.6227912742,0.3772087258,1
195,0.6278165529,0.3721834471,1
196,0.6450782105,0.3549217895,1
197,0.6621525071,0.3378474929,1
198,0.6685690258,0.3314309742,1
199,0.688233937,0.311766063,1
200,0.7313655705,0.2686344295,1
201,0.73797995,0.26202005,1
202,0.7757724195,0.2242275805,1
203,0.8269871495,0.1730128505,1
204,0.7857804329,0.2142195671,1
205,0.7317783459,0.2682216541,1
206,0.6731251174,0.3268748826,1
207,0.6543105156,0.3456894844,1
