,Cluster 1,Cluster 2,
1,0.7191474063,0.2808525937,1
2,0.7561580426,0.2438419574,1
3,0.7555856262,0.2444143738,1
4,0.7848360145,0.2151639855,1
5,0.7835858237,0.2164141763,1
6,0.804939375,0.195060625,1
7,0.8119597315,0.1880402685,1
8,0.8321800223,0.1678199777,1
9,0.8550337461,0.1449662539,1
10,0.8657712682,0.1342287318,1
11,0.8651581428,0.1348418572,1
12,0.8829398236,0.1170601764,1
13,0.8932384207,0.1067615793,1
14,0.8977371954,0.1022628046,1
15,0.8990984254,0.1009015746,1
16,0.9112562889,0.08874371109,1
17,0.9018013661,0.09819863385,1
18,0.9161994119,0.08380058809,1
19,0.9145184967,0.08548150332,1
20,0.9261769513,0.07382304871,1
21,0.9103165928,0.08968340722,1
22,0.911769372,0.08823062798,1
23,0.9291669145,0.0708330855,1
24,0.9139970268,0.08600297316,1
25,0.9070634558,0.09293654425,1
26,0.8952282961,0.1047717039,1
27,0.8967803727,0.1032196273,1
28,0.8887439176,0.1112560824,1
29,0.871580424,0.128419576,1
30,0.863459146,0.136540854,1
31,0.8503534577,0.1496465423,1
32,0.8450812991,0.1549187009,1
33,0.8303422775,0.1696577225,1
34,0.8107155108,0.1892844892,1
35,0.7895387573,0.2104612427,1
36,0.7746116216,0.2253883784,1
37,0.7772160878,0.2227839122,1
38,0.7349075014,0.2650924986,1
39,0.7353767566,0.2646232434,1
40,0.6972809907,0.3027190093,1
41,0.7132600534,0.2867399466,1
42,0.664104507,0.335895493,1
43,0.6703732303,0.3296267697,1
44,0.6244876446,0.3755123554,1
45,0.6192888137,0.3807111863,1
46,0.5843539499,0.4156460501,1
47,0.5785468136,0.4214531864,1
48,0.5396197723,0.4603802277,1
49,0.5330328509,0.4669671491,1
50,0.5091304657,0.4908695343,1
51,0.5010585109,0.4989414891,1
52,0.4715439944,0.5284560056,2
53,0.465790965,0.534209035,2
54,0.4282603145,0.5717396855,2
55,0.4394733252,0.5605266748,2
56,0.3765195269,0.6234804731,2
57,0.3685208242,0.6314791758,2
58,0.3435784176,0.6564215824,2
59,0.333214433,0.666785567,2
60,0.3046088713,0.6953911287,2
61,0.2874647271,0.7125352729,2
62,0.2642676059,0.7357323941,2
63,0.271692612,0.728307388,2
64,0.2259868169,0.7740131831,2
65,0.2253676602,0.7746323398,2
66,0.2104518789,0.7895481211,2
67,0.1920617568,0.8079382432,2
68,0.1755159039,0.8244840961,2
69,0.174760689,0.825239311,2
70,0.1260619557,0.8739380443,2
71,0.1411579271,0.8588420729,2
72,0.1188961328,0.8811038672,2
73,0.1113614626,0.8886385374,2
74,0.09037148063,0.9096285194,2
75,0.09023314476,0.9097668552,2
76,0.1026969061,0.8973030939,2
77,0.07469760144,0.9253023986,2
78,0.09391817625,0.9060818238,2
79,0.07299423807,0.9270057619,2
80,0.09254915586,0.9074508441,2
81,0.08666968039,0.9133303196,2
82,0.07714674429,0.9228532557,2
83,0.08544644951,0.9145535505,2
84,0.07885363611,0.9211463639,2
85,0.1021145275,0.8978854725,2
86,0.09150865428,0.9084913457,2
87,0.105049481,0.894950519,2
88,0.1163692725,0.8836307275,2
89,0.1365912941,0.8634087059,2
90,0.1408501323,0.8591498677,2
91,0.1482670758,0.8517329242,2
92,0.177218154,0.822781846,2
93,0.177811995,0.822188005,2
94,0.1920302207,0.8079697793,2
95,0.2076736934,0.7923263066,2
96,0.215570939,0.784429061,2
97,0.2448854071,0.7551145929,2
98,0.2498237918,0.7501762082,2
99,0.2846446268,0.7153553732,2
100,0.2941278454,0.7058721546,2
101,0.3179313331,0.6820686669,2
102,0.3153662867,0.6846337133,2
103,0.0664403864,0.9335596136,2
104,0.0514432616,0.9485567384,2
105,0.03658482269,0.9634151773,2
106,0.02685526866,0.9731447313,2
107,0.05231543513,0.9476845649,2
108,0.06707875462,0.9329212454,2
109,0.09840290226,0.9015970977,2
110,0.0440189445,0.9559810555,2
111,0.1175090143,0.8824909857,2
112,0.1292751478,0.8707248522,2
113,0.174265939,0.825734061,2
114,0.1068167995,0.8931832005,2
115,0.05214802602,0.947851974,2
116,0.03504536058,0.9649546394,2
117,0.02886560209,0.9711343979,2
118,0.02810547865,0.9718945214,2
119,0.2094778656,0.7905221344,2
120,0.2020722917,0.7979277083,2
121,0.1586770638,0.8413229362,2
122,0.1375781802,0.8624218198,2
123,0.1317625989,0.8682374011,2
124,0.1311747031,0.8688252969,2
125,0.07748666305,0.9225133369,2
126,0.102229239,0.897770761,2
127,0.09310939282,0.9068906072,2
128,0.07228271017,0.9277172898,2
129,0.05443827142,0.9455617286,2
130,0.05455603451,0.9454439655,2
131,0.02547223294,0.9745277671,2
132,0.02476447777,0.9752355222,2
133,0.02897690784,0.9710230922,2
134,0.02897690784,0.9710230922,2
135,0.02820840765,0.9717915923,2
136,0.02122345831,0.9787765417,2
137,0.03029900001,0.969701,2
138,0.07419548796,0.925804512,2
139,0.05350862879,0.9464913712,2
140,0.05996540614,0.9400345939,2
141,0.122116821,0.877883179,2
142,0.1851739245,0.8148260755,2
143,0.30153807,0.69846193,2
144,0.354768673,0.645231327,2
145,0.1279413827,0.8720586173,2
146,0.1308066547,0.8691933453,2
147,0.130113707,0.869886293,2
148,0.147065881,0.852934119,2
149,0.03922831697,0.960771683,2
150,0.02847927675,0.9715207233,2
151,0.01589429923,0.9841057008,2
152,0.009966212355,0.9900337876,2
153,0.003263027106,0.9967369729,2
154,0.001328199027,0.998671801,2
155,6.47E-05,0.9999353189,2
156,1.31E-05,0.9999869059,2
157,0.001672051845,0.9983279482,2
158,0.003471797802,0.9965282022,2
159,0.007661776689,0.9923382233,2
160,0.006968835566,0.9930311644,2
161,0.002266299666,0.9977337003,2
162,0.00597411306,0.9940258869,2
163,0.01023895223,0.9897610478,2
164,0.009454231049,0.990545769,2
165,0.01970640827,0.9802935917,2
166,0.03592637471,0.9640736253,2
167,0.03257260333,0.9674273967,2
168,0.03158926157,0.9684107384,2
169,0.04830365025,0.9516963498,2
170,0.04973068613,0.9502693139,2
171,0.07791897197,0.922081028,2
172,0.02749954877,0.9725004512,2
173,0.03851235417,0.9614876458,2
174,0.03697193523,0.9630280648,2
175,0.04686262809,0.9531373719,2
176,0.07956434839,0.9204356516,2
177,0.08554943522,0.9144505648,2
178,0.1079518805,0.8920481195,2
179,0.0625623428,0.9374376572,2
180,0.03195610124,0.9680438988,2
181,0.0139443629,0.9860556371,2
182,0.02182463251,0.9781753675,2
183,0.02065654632,0.9793434537,2
184,0.01087514395,0.989124856,2
185,0.02485083991,0.9751491601,2
186,0.01326602055,0.9867339794,2
187,0.01583639013,0.9841636099,2
188,0.03126431984,0.9687356802,2
189,0.05983697751,0.9401630225,2
190,0.1046216277,0.8953783723,2
191,0.178070594,0.821929406,2
192,0.1092875228,0.8907124772,2
193,0.1181134412,0.8818865588,2
194,0.1793017056,0.8206982944,2
195,0.2058889866,0.7941110134,2
196,0.2129752325,0.7870247675,2
197,0.3775008902,0.6224991098,2
198,0.333669943,0.666330057,2
199,0.3099935396,0.6900064604,2
200,0.3926089012,0.6073910988,2
201,0.4388906881,0.5611093119,2
202,0.8035112104,0.1964887896,1
203,0.8617601617,0.1382398383,1
204,0.9119317185,0.08806828151,1
205,0.9243340796,0.07566592036,1
206,0.9383848732,0.06161512685,1
207,0.9320481299,0.06795187005,1
208,0.9631696173,0.03683038268,1
209,0.9617524201,0.03824757994,1
210,0.9677639174,0.03223608261,1
211,0.9730848888,0.02691511122,1
212,0.9788340049,0.02116599513,1
213,0.9775901615,0.0224098385,1
214,0.9822121757,0.01778782433,1
215,0.9770213718,0.02297862819,1
216,0.9725136379,0.02748636212,1
217,0.9795608887,0.02043911127,1
218,0.9851015796,0.01489842042,1
219,0.991468243,0.008531756989,1
220,0.993230287,0.006769712969,1
221,0.9941960583,0.005803941739,1
222,0.9869904408,0.01300955916,1
223,0.9842924921,0.01570750788,1
224,0.9792380569,0.02076194312,1
225,0.9764615474,0.02353845263,1
226,0.9685678083,0.03143219173,1
227,0.9550557741,0.04494422587,1
228,0.9256871211,0.07431287893,1
229,0.889957838,0.110042162,1
230,0.8823522794,0.1176477206,1
231,0.8449695421,0.1550304579,1
232,0.8418107066,0.1581892934,1
233,0.7897649099,0.2102350901,1
234,0.8064299511,0.1935700489,1
235,0.8507443732,0.1492556268,1
236,0.882520588,0.117479412,1
237,0.8848176209,0.1151823791,1
238,0.8653841726,0.1346158274,1
239,0.9241668994,0.07583310058,1
240,0.9353556852,0.06464431484,1
241,0.9420475168,0.05795248322,1
242,0.832885362,0.167114638,1
243,0.8921512691,0.1078487309,1
244,0.9255981691,0.07440183093,1
245,0.937369832,0.06263016805,1
246,0.9650680306,0.03493196945,1
247,0.961850242,0.03814975802,1
248,0.9715776814,0.0284223186,1
249,0.9861795563,0.01382044369,1
250,0.9879676579,0.01203234213,1
251,0.9983511482,0.001648851815,1
252,0.9833138424,0.01668615759,1
253,0.9918862801,0.008113719938,1
254,0.9920642203,0.007935779674,1
255,0.9953896794,0.004610320646,1
256,0.9982220516,0.001777948396,1
257,0.9998780199,0.0001219800576,1
258,0.9986897397,0.001310260333,1
259,0.997811227,0.002188772983,1
260,0.9979025431,0.002097456853,1
261,0.9921349411,0.007865058876,1
262,0.9893354621,0.01066453791,1
263,0.9880447299,0.01195527014,1
264,0.9859018939,0.01409810613,1
265,0.977365473,0.02263452699,1
266,0.9447400528,0.0552599472,1
267,0.9571797176,0.04282028244,1
268,0.9482826629,0.05171733715,1
269,0.9512637703,0.04873622971,1
270,0.8909368902,0.1090631098,1
271,0.968567342,0.03143265803,1
272,0.9633816112,0.03661838882,1
273,0.9339495764,0.06605042362,1
274,0.9256926755,0.0743073245,1
275,0.9043999873,0.09560001274,1
276,0.8540871297,0.1459128703,1
277,0.8921950576,0.1078049424,1
278,0.9833040808,0.01669591924,1
279,0.9590648289,0.0409351711,1
280,0.9418984644,0.05810153559,1
281,0.9316430455,0.0683569545,1
282,0.9645297838,0.03547021622,1
283,0.9692738734,0.03072612658,1
284,0.9695346117,0.0304653883,1
285,0.9591873621,0.04081263789,1
286,0.9402300622,0.05976993775,1
287,0.927125006,0.07287499399,1
288,0.893184896,0.106815104,1
289,0.8844198217,0.1155801783,1
290,0.8503627545,0.1496372455,1
291,0.8696124551,0.1303875449,1
292,0.8912112863,0.1087887137,1
293,0.781416622,0.218583378,1
294,0.6288984546,0.3711015454,1
295,0.6791341766,0.3208658234,1
296,0.7777045812,0.2222954188,1
297,0.8832712387,0.1167287613,1
298,0.8797567757,0.1202432243,1
299,0.8536092649,0.1463907351,1
